Name,Color,What is your gender?,What is your favorite season?,What time of day do you like the most?,What is your favorite school subject?,What is your preferred weather?,Do you prefer warm or cool weather?,Are you introverted or extroverted?,What is your favorite music genre?,What is your favorite movie genre?,Do you use light or dark mode?
Person_25,"74, 131, 165",Male,Winter,Morning,Math,Snowy,Cool,Introverted,HipHop,Action,Dark
Person_26,"165, 123, 74",Female,Autumn,Evening,History,Rainy,Cool,Extroverted,Electronic,Fantasy,Light
Person_27,"165, 101, 74",Male,Autumn,Morning,Gym,Snowy,Cool,Introverted,Electronic,Horror,Dark
Person_28,"229, 122, 57",Female,Summer,Afternoon,Science,Sunny,Warm,Introverted,Jazz,Drama,Light
Person_29,"165, 101, 74",Male,Autumn,Morning,Gym,Rainy,Cool,Introverted,Pop,Action,Dark
Person_30,"74, 131, 165",Female,Winter,Night,Science,Snowy,Cool,Introverted,Electronic,Romance,Light
Person_31,"229, 164, 57",Female,Summer,Morning,Art,Sunny,Warm,Extroverted,Classical,Action,Dark
Person_32,"65, 229, 57",Female,Spring,Afternoon,Science,Sunny,Warm,Extroverted,Jazz,Drama,Dark
Person_33,"65, 229, 57",Female,Spring,Morning,Language,Sunny,Warm,Extroverted,HipHop,Drama,Dark
Person_34,"229, 164, 57",Female,Summer,Evening,History,Cloudy,Warm,Extroverted,Electronic,SciFi,Light
Person_35,"165, 101, 74",Female,Autumn,Night,Art,Rainy,Cool,Introverted,Pop,Drama,Dark
Person_36,"74, 109, 165",Male,Winter,Afternoon,Language,Rainy,Cool,Extroverted,Rock,Action,Dark
Person_37,"229, 122, 57",Female,Summer,Evening,Language,Sunny,Warm,Introverted,Pop,Fantasy,Light
Person_38,"165, 101, 74",Male,Autumn,Night,Gym,Snowy,Cool,Introverted,Jazz,Action,Dark
Person_39,"165, 123, 74",Male,Autumn,Morning,Math,Snowy,Cool,Extroverted,Country,SciFi,Dark
Person_40,"165, 101, 74",Male,Autumn,Afternoon,Art,Snowy,Cool,Introverted,Electronic,Fantasy,Light
Person_41,"229, 122, 57",Male,Summer,Evening,Science,Cloudy,Warm,Introverted,Country,Drama,Dark
Person_42,"74, 131, 165",Male,Winter,Evening,History,Snowy,Cool,Introverted,Pop,Fantasy,Dark
Person_43,"165, 101, 74",Male,Autumn,Morning,Art,Rainy,Cool,Introverted,Jazz,SciFi,Dark
Person_44,"106, 229, 57",Female,Spring,Morning,Science,Sunny,Warm,Introverted,Electronic,Romance,Dark
Person_45,"165, 101, 74",Male,Autumn,Afternoon,Art,Rainy,Cool,Introverted,Country,Fantasy,Light
Person_46,"65, 229, 57",Male,Spring,Morning,History,Sunny,Warm,Extroverted,Pop,Romance,Dark
Person_47,"165, 123, 74",Female,Autumn,Morning,Gym,Rainy,Cool,Extroverted,Rock,Action,Dark
Person_48,"165, 123, 74",Female,Autumn,Evening,Math,Snowy,Cool,Extroverted,Electronic,Romance,Light
Person_49,"65, 229, 57",Female,Spring,Night,Art,Sunny,Warm,Extroverted,Indie,Romance,Light
Person_50,"65, 229, 57",Female,Spring,Evening,History,Cloudy,Warm,Extroverted,Country,Drama,Dark
Person_51,"229, 122, 57",Male,Summer,Night,Science,Cloudy,Warm,Introverted,Jazz,Drama,Dark
Person_52,"165, 123, 74",Male,Autumn,Afternoon,Math,Rainy,Cool,Extroverted,Jazz,SciFi,Dark
Person_53,"65, 229, 57",Female,Spring,Night,History,Cloudy,Warm,Extroverted,Pop,Action,Light
Person_54,"229, 122, 57",Female,Summer,Afternoon,Math,Sunny,Warm,Introverted,Electronic,Action,Dark
Person_55,"74, 131, 165",Female,Winter,Afternoon,Language,Rainy,Cool,Introverted,Electronic,Drama,Light
Person_56,"165, 101, 74",Female,Autumn,Morning,Math,Snowy,Cool,Introverted,HipHop,Horror,Light
Person_57,"165, 123, 74",Male,Autumn,Morning,Art,Rainy,Cool,Extroverted,Classical,Fantasy,Dark
Person_58,"229, 164, 57",Male,Summer,Night,Art,Cloudy,Warm,Extroverted,Indie,Drama,Light
Person_59,"74, 109, 165",Male,Winter,Morning,Math,Snowy,Cool,Extroverted,Classical,Romance,Light
Person_60,"106, 229, 57",Female,Spring,Evening,Art,Cloudy,Warm,Introverted,Indie,Horror,Light
Person_61,"165, 123, 74",Female,Autumn,Evening,Math,Snowy,Cool,Extroverted,Electronic,Drama,Light
Person_62,"74, 109, 165",Male,Winter,Night,Art,Snowy,Cool,Extroverted,Rock,Drama,Light
Person_63,"229, 122, 57",Female,Summer,Evening,Language,Cloudy,Warm,Introverted,Indie,Horror,Light
Person_64,"229, 164, 57",Female,Summer,Night,Language,Cloudy,Warm,Extroverted,Indie,Romance,Light
Person_65,"165, 123, 74",Male,Autumn,Morning,Science,Rainy,Cool,Extroverted,Rock,SciFi,Dark
Person_66,"65, 229, 57",Male,Spring,Afternoon,Gym,Sunny,Warm,Extroverted,Indie,Romance,Dark
Person_67,"165, 123, 74",Male,Autumn,Morning,Science,Snowy,Cool,Extroverted,Indie,Romance,Dark
Person_68,"74, 109, 165",Female,Winter,Night,History,Rainy,Cool,Extroverted,Classical,Action,Dark
Person_69,"165, 123, 74",Male,Autumn,Night,Language,Rainy,Cool,Extroverted,Jazz,Action,Light
Person_70,"65, 229, 57",Female,Spring,Morning,History,Sunny,Warm,Extroverted,Pop,Action,Dark
Person_71,"165, 101, 74",Male,Autumn,Night,Language,Rainy,Cool,Introverted,Indie,Horror,Dark
Person_72,"74, 109, 165",Male,Winter,Afternoon,Language,Rainy,Cool,Extroverted,Indie,Fantasy,Dark
Person_73,"65, 229, 57",Male,Spring,Afternoon,Science,Sunny,Warm,Extroverted,Country,Action,Dark
Person_74,"165, 101, 74",Male,Autumn,Evening,History,Rainy,Cool,Introverted,Jazz,Action,Dark
Person_75,"229, 164, 57",Male,Summer,Night,History,Sunny,Warm,Extroverted,HipHop,Fantasy,Light
Person_76,"74, 109, 165",Male,Winter,Night,Math,Rainy,Cool,Extroverted,Pop,Romance,Dark
Person_77,"74, 109, 165",Male,Winter,Morning,Language,Rainy,Cool,Extroverted,Country,Fantasy,Light
Person_78,"165, 123, 74",Female,Autumn,Morning,Science,Snowy,Cool,Extroverted,Electronic,Horror,Dark
Person_79,"165, 101, 74",Female,Autumn,Afternoon,Math,Rainy,Cool,Introverted,Electronic,SciFi,Light
Person_80,"106, 229, 57",Male,Spring,Evening,Math,Sunny,Warm,Introverted,HipHop,Horror,Light
Person_81,"229, 164, 57",Male,Summer,Morning,History,Cloudy,Warm,Extroverted,Indie,Fantasy,Light
Person_82,"74, 109, 165",Female,Winter,Afternoon,History,Rainy,Cool,Extroverted,Electronic,Action,Light
Person_83,"229, 164, 57",Female,Summer,Morning,Gym,Sunny,Warm,Extroverted,HipHop,Fantasy,Light
Person_84,"165, 101, 74",Male,Autumn,Afternoon,Language,Rainy,Cool,Introverted,Electronic,Action,Dark
Person_85,"74, 131, 165",Female,Winter,Night,Language,Snowy,Cool,Introverted,Pop,Drama,Light
Person_86,"65, 229, 57",Female,Spring,Morning,Math,Sunny,Warm,Extroverted,Electronic,Horror,Dark
Person_87,"165, 101, 74",Female,Autumn,Evening,Math,Rainy,Cool,Introverted,Rock,Drama,Light
Person_88,"74, 131, 165",Male,Winter,Night,Language,Rainy,Cool,Introverted,Electronic,Action,Dark
Person_89,"106, 229, 57",Male,Spring,Evening,Language,Cloudy,Warm,Introverted,Classical,Romance,Dark
Person_90,"165, 101, 74",Male,Autumn,Night,Art,Rainy,Cool,Introverted,Rock,Drama,Light
Person_91,"165, 101, 74",Female,Autumn,Evening,Gym,Rainy,Cool,Introverted,Rock,Action,Dark
Person_92,"165, 123, 74",Female,Autumn,Evening,Science,Rainy,Cool,Extroverted,Rock,SciFi,Light
Person_93,"106, 229, 57",Female,Spring,Morning,Science,Sunny,Warm,Introverted,Country,Horror,Light
Person_94,"74, 109, 165",Female,Winter,Afternoon,Math,Rainy,Cool,Extroverted,Classical,Drama,Dark
Person_95,"106, 229, 57",Male,Spring,Evening,Math,Sunny,Warm,Introverted,HipHop,Horror,Dark
Person_96,"106, 229, 57",Male,Spring,Morning,Math,Cloudy,Warm,Introverted,HipHop,SciFi,Light
Person_97,"165, 123, 74",Female,Autumn,Evening,History,Snowy,Cool,Extroverted,Classical,Romance,Light
Person_98,"65, 229, 57",Male,Spring,Morning,Art,Sunny,Warm,Extroverted,Electronic,Fantasy,Light
Person_99,"229, 122, 57",Female,Summer,Afternoon,Math,Sunny,Warm,Introverted,Pop,Horror,Light
Person_100,"229, 164, 57",Female,Summer,Afternoon,Gym,Sunny,Warm,Extroverted,Classical,SciFi,Light
Person_101,"229, 122, 57",Female,Summer,Night,Art,Cloudy,Warm,Introverted,Jazz,Action,Dark
Person_102,"165, 101, 74",Male,Autumn,Evening,Science,Snowy,Cool,Introverted,HipHop,Horror,Light
Person_103,"229, 122, 57",Female,Summer,Night,History,Cloudy,Warm,Introverted,Classical,Romance,Light
Person_104,"106, 229, 57",Female,Spring,Morning,Art,Cloudy,Warm,Introverted,Rock,Fantasy,Light
Person_105,"74, 109, 165",Male,Winter,Morning,Science,Rainy,Cool,Extroverted,Rock,Horror,Dark
Person_106,"74, 109, 165",Male,Winter,Night,Gym,Rainy,Cool,Extroverted,Pop,SciFi,Dark
Person_107,"229, 164, 57",Female,Summer,Night,History,Sunny,Warm,Extroverted,Pop,Action,Light
Person_108,"65, 229, 57",Female,Spring,Evening,Gym,Cloudy,Warm,Extroverted,Indie,Horror,Dark
Person_109,"74, 131, 165",Female,Winter,Morning,Art,Rainy,Cool,Introverted,Rock,Horror,Dark
Person_110,"106, 229, 57",Male,Spring,Afternoon,Science,Cloudy,Warm,Introverted,Jazz,SciFi,Light
Person_111,"106, 229, 57",Male,Spring,Night,Language,Cloudy,Warm,Introverted,Indie,Action,Light
Person_112,"229, 122, 57",Male,Summer,Morning,Gym,Cloudy,Warm,Introverted,Classical,Action,Light
Person_113,"74, 131, 165",Male,Winter,Night,Art,Snowy,Cool,Introverted,Pop,Action,Light
Person_114,"74, 131, 165",Male,Winter,Afternoon,Language,Snowy,Cool,Introverted,Pop,Drama,Dark
Person_115,"229, 122, 57",Female,Summer,Morning,History,Cloudy,Warm,Introverted,Electronic,Drama,Light
Person_116,"229, 122, 57",Female,Summer,Morning,Science,Sunny,Warm,Introverted,Rock,Action,Light
Person_117,"74, 109, 165",Male,Winter,Afternoon,Math,Snowy,Cool,Extroverted,Country,Horror,Light
Person_118,"106, 229, 57",Male,Spring,Afternoon,History,Sunny,Warm,Introverted,Pop,SciFi,Dark
Person_119,"165, 101, 74",Male,Autumn,Evening,Art,Rainy,Cool,Introverted,Classical,Romance,Dark
Person_120,"165, 101, 74",Female,Autumn,Night,Language,Rainy,Cool,Introverted,Country,Action,Dark
Person_121,"229, 164, 57",Female,Summer,Evening,Gym,Sunny,Warm,Extroverted,Jazz,SciFi,Dark
Person_122,"74, 109, 165",Male,Winter,Night,Gym,Snowy,Cool,Extroverted,Country,Action,Light
Person_123,"165, 123, 74",Male,Autumn,Evening,Language,Snowy,Cool,Extroverted,Jazz,Horror,Dark
Person_124,"229, 164, 57",Female,Summer,Night,History,Cloudy,Warm,Extroverted,Rock,Drama,Light
Person_125,"74, 131, 165",Male,Winter,Afternoon,Science,Snowy,Cool,Introverted,Rock,Horror,Dark
Person_126,"165, 101, 74",Female,Autumn,Afternoon,History,Snowy,Cool,Introverted,HipHop,Fantasy,Dark
Person_127,"106, 229, 57",Male,Spring,Afternoon,Math,Cloudy,Warm,Introverted,Classical,Fantasy,Light
Person_128,"106, 229, 57",Male,Spring,Afternoon,History,Cloudy,Warm,Introverted,Pop,Drama,Light
Person_129,"74, 131, 165",Female,Winter,Morning,History,Rainy,Cool,Introverted,Rock,Horror,Light
Person_130,"165, 123, 74",Female,Autumn,Evening,Gym,Snowy,Cool,Extroverted,Electronic,Fantasy,Light
Person_131,"165, 123, 74",Male,Autumn,Night,Art,Snowy,Cool,Extroverted,Jazz,Action,Dark
Person_132,"65, 229, 57",Male,Spring,Night,Math,Cloudy,Warm,Extroverted,Country,Romance,Dark
Person_133,"165, 101, 74",Male,Autumn,Afternoon,Gym,Rainy,Cool,Introverted,Rock,SciFi,Light
Person_134,"165, 101, 74",Male,Autumn,Morning,Math,Snowy,Cool,Introverted,Jazz,Action,Dark
Person_135,"165, 101, 74",Female,Autumn,Morning,Gym,Rainy,Cool,Introverted,Indie,Romance,Light
Person_136,"229, 164, 57",Female,Summer,Night,Gym,Sunny,Warm,Extroverted,Country,Fantasy,Dark
Person_137,"65, 229, 57",Female,Spring,Afternoon,Science,Cloudy,Warm,Extroverted,Country,Drama,Light
Person_138,"165, 123, 74",Female,Autumn,Afternoon,Language,Snowy,Cool,Extroverted,Classical,SciFi,Light
Person_139,"74, 131, 165",Female,Winter,Evening,Gym,Snowy,Cool,Introverted,Indie,SciFi,Dark
Person_140,"74, 131, 165",Male,Winter,Afternoon,Science,Snowy,Cool,Introverted,Electronic,Fantasy,Light
Person_141,"74, 109, 165",Female,Winter,Night,Math,Rainy,Cool,Extroverted,Indie,Horror,Dark
Person_142,"65, 229, 57",Female,Spring,Morning,Language,Cloudy,Warm,Extroverted,Country,Action,Dark
Person_143,"165, 101, 74",Male,Autumn,Evening,History,Rainy,Cool,Introverted,Pop,SciFi,Dark
Person_144,"229, 164, 57",Female,Summer,Night,Science,Sunny,Warm,Extroverted,Jazz,Horror,Light
Person_145,"229, 122, 57",Male,Summer,Evening,History,Sunny,Warm,Introverted,Rock,SciFi,Dark
Person_146,"65, 229, 57",Male,Spring,Night,Science,Cloudy,Warm,Extroverted,HipHop,Horror,Dark
Person_147,"165, 123, 74",Female,Autumn,Night,Art,Snowy,Cool,Extroverted,Jazz,Horror,Light
Person_148,"165, 123, 74",Female,Autumn,Afternoon,History,Snowy,Cool,Extroverted,Electronic,Action,Dark
Person_149,"106, 229, 57",Female,Spring,Evening,Art,Cloudy,Warm,Introverted,Country,Horror,Light
Person_150,"74, 131, 165",Female,Winter,Afternoon,Art,Snowy,Cool,Introverted,Classical,Horror,Light
Person_151,"74, 109, 165",Female,Winter,Night,Language,Snowy,Cool,Extroverted,Classical,Drama,Dark
Person_152,"106, 229, 57",Female,Spring,Evening,Science,Cloudy,Warm,Introverted,HipHop,Drama,Dark
Person_153,"229, 164, 57",Male,Summer,Morning,Math,Cloudy,Warm,Extroverted,Rock,Fantasy,Dark
Person_154,"165, 101, 74",Male,Autumn,Morning,Gym,Rainy,Cool,Introverted,Classical,Action,Dark
Person_155,"65, 229, 57",Male,Spring,Evening,Art,Sunny,Warm,Extroverted,Jazz,Romance,Dark
Person_156,"74, 109, 165",Female,Winter,Morning,Language,Rainy,Cool,Extroverted,Jazz,SciFi,Light
Person_157,"74, 109, 165",Female,Winter,Morning,Science,Snowy,Cool,Extroverted,Pop,Fantasy,Dark
Person_158,"229, 164, 57",Female,Summer,Evening,History,Cloudy,Warm,Extroverted,Rock,Fantasy,Dark
Person_159,"165, 123, 74",Male,Autumn,Morning,Math,Snowy,Cool,Extroverted,Pop,Drama,Dark
Person_160,"229, 164, 57",Male,Summer,Afternoon,Art,Cloudy,Warm,Extroverted,Electronic,SciFi,Dark
Person_161,"229, 122, 57",Male,Summer,Evening,Gym,Cloudy,Warm,Introverted,Classical,SciFi,Light
Person_162,"165, 123, 74",Male,Autumn,Evening,Art,Rainy,Cool,Extroverted,Country,Romance,Light
Person_163,"165, 101, 74",Female,Autumn,Afternoon,Gym,Rainy,Cool,Introverted,Rock,Horror,Dark
Person_164,"165, 123, 74",Female,Autumn,Night,Language,Rainy,Cool,Extroverted,Electronic,SciFi,Dark
Person_165,"65, 229, 57",Male,Spring,Morning,Language,Sunny,Warm,Extroverted,Pop,SciFi,Dark
Person_166,"229, 164, 57",Male,Summer,Evening,Gym,Cloudy,Warm,Extroverted,Jazz,Romance,Light
Person_167,"65, 229, 57",Female,Spring,Morning,Science,Sunny,Warm,Extroverted,Rock,Action,Dark
Person_168,"229, 164, 57",Female,Summer,Afternoon,Art,Sunny,Warm,Extroverted,Classical,Horror,Dark
Person_169,"65, 229, 57",Female,Spring,Evening,Science,Cloudy,Warm,Extroverted,Rock,Drama,Dark
Person_170,"65, 229, 57",Female,Spring,Afternoon,Math,Cloudy,Warm,Extroverted,HipHop,Action,Dark
Person_171,"165, 101, 74",Female,Autumn,Evening,Language,Snowy,Cool,Introverted,Electronic,Horror,Light
Person_172,"74, 131, 165",Male,Winter,Morning,Science,Snowy,Cool,Introverted,Rock,Fantasy,Dark
Person_173,"74, 131, 165",Female,Winter,Afternoon,Math,Rainy,Cool,Introverted,Pop,Fantasy,Dark
Person_174,"74, 109, 165",Male,Winter,Evening,Language,Rainy,Cool,Extroverted,Rock,SciFi,Light
Person_175,"74, 109, 165",Male,Winter,Night,Science,Rainy,Cool,Extroverted,Electronic,Drama,Dark
Person_176,"229, 122, 57",Female,Summer,Morning,Science,Cloudy,Warm,Introverted,Indie,SciFi,Light
Person_177,"229, 122, 57",Female,Summer,Afternoon,Gym,Cloudy,Warm,Introverted,Indie,Action,Light
Person_178,"65, 229, 57",Female,Spring,Morning,History,Sunny,Warm,Extroverted,Jazz,Fantasy,Dark
Person_179,"165, 123, 74",Male,Autumn,Evening,Language,Rainy,Cool,Extroverted,HipHop,Drama,Light
Person_180,"165, 123, 74",Male,Autumn,Afternoon,Gym,Snowy,Cool,Extroverted,Country,SciFi,Dark
Person_181,"74, 131, 165",Male,Winter,Evening,Science,Rainy,Cool,Introverted,Indie,Action,Light
Person_182,"165, 123, 74",Female,Autumn,Evening,Art,Rainy,Cool,Extroverted,Country,Horror,Light
Person_183,"65, 229, 57",Male,Spring,Evening,Art,Sunny,Warm,Extroverted,Jazz,Romance,Dark
Person_184,"65, 229, 57",Female,Spring,Evening,Science,Sunny,Warm,Extroverted,Country,SciFi,Dark
Person_185,"74, 109, 165",Male,Winter,Evening,Science,Rainy,Cool,Extroverted,HipHop,Drama,Light
Person_186,"106, 229, 57",Male,Spring,Night,History,Sunny,Warm,Introverted,HipHop,Fantasy,Light
Person_187,"74, 109, 165",Male,Winter,Afternoon,History,Snowy,Cool,Extroverted,Indie,Romance,Dark
Person_188,"229, 122, 57",Male,Summer,Evening,History,Sunny,Warm,Introverted,Pop,SciFi,Light
Person_189,"106, 229, 57",Female,Spring,Evening,Art,Cloudy,Warm,Introverted,Indie,Drama,Light
Person_190,"229, 164, 57",Male,Summer,Morning,Art,Cloudy,Warm,Extroverted,Electronic,SciFi,Dark
Person_191,"65, 229, 57",Female,Spring,Afternoon,Science,Cloudy,Warm,Extroverted,HipHop,SciFi,Dark
Person_192,"165, 123, 74",Male,Autumn,Afternoon,Gym,Rainy,Cool,Extroverted,HipHop,Romance,Dark
Person_193,"106, 229, 57",Female,Spring,Night,Science,Cloudy,Warm,Introverted,HipHop,Action,Dark
Person_194,"74, 131, 165",Female,Winter,Afternoon,Science,Snowy,Cool,Introverted,Indie,SciFi,Light
Person_195,"74, 131, 165",Female,Winter,Night,Art,Snowy,Cool,Introverted,Electronic,Romance,Dark
Person_196,"229, 164, 57",Male,Summer,Night,Art,Sunny,Warm,Extroverted,Jazz,Horror,Light
Person_197,"65, 229, 57",Female,Spring,Night,Science,Cloudy,Warm,Extroverted,Rock,SciFi,Light
Person_198,"106, 229, 57",Male,Spring,Night,Science,Cloudy,Warm,Introverted,Indie,Drama,Light
Person_199,"229, 164, 57",Male,Summer,Morning,Art,Cloudy,Warm,Extroverted,Jazz,Horror,Light
Person_200,"106, 229, 57",Male,Spring,Night,Gym,Sunny,Warm,Introverted,HipHop,Action,Dark
